departamento,provincia,candidato,partido,votos
AMAZONAS,LUYA,ARMANDO JOAQUIN MASSE FERNANDEZ,PARTIDO DEMOCRATICO FEDERAL,23
AMAZONAS,LUYA,JOSE DANIEL WILLIAMS ZAPATA,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,18
AMAZONAS,LUYA,NAPOLEON BECERRA GARCIA,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,16
AMAZONAS,LUYA,WALTER GILMER CHIRINOS PURIZAGA,PARTIDO POLÍTICO PRIN,13
AMAZONAS,LUYA,CARLOS ERNESTO JAICO CARRANZA,PERÚ MODERNO,4
AMAZONAS,RODRÍGUEZ DE MENDOZA,,VOTOS EN BLANCO,3003
AMAZONAS,RODRÍGUEZ DE MENDOZA,ROBERTO HELBERT SANCHEZ PALOMINO,JUNTOS POR EL PERÚ,2506
AMAZONAS,RODRÍGUEZ DE MENDOZA,KEIKO SOFIA FUJIMORI HIGUCHI,FUERZA POPULAR,2235
AMAZONAS,RODRÍGUEZ DE MENDOZA,,VOTOS NULOS,1431
AMAZONAS,RODRÍGUEZ DE MENDOZA,RICARDO PABLO BELMONT CASSINELLI,PARTIDO CÍVICO OBRAS,1187
AMAZONAS,RODRÍGUEZ DE MENDOZA,PABLO ALFONSO LOPEZ CHAU NAVA,AHORA NACIÓN - AN,959
AMAZONAS,RODRÍGUEZ DE MENDOZA,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,RENOVACIÓN POPULAR,893
AMAZONAS,RODRÍGUEZ DE MENDOZA,JORGE NIETO MONTESINOS,PARTIDO DEL BUEN GOBIERNO,529
AMAZONAS,RODRÍGUEZ DE MENDOZA,CARLOS GONSALO ALVAREZ LOAYZA,PARTIDO PAÍS PARA TODOS,462
AMAZONAS,RODRÍGUEZ DE MENDOZA,GEORGE PATRICK FORSYTH SOMMER,PARTIDO DEMOCRÁTICO SOMOS PERÚ,331
AMAZONAS,RODRÍGUEZ DE MENDOZA,JOSE LEON LUNA GALVEZ,PODEMOS PERÚ,229
AMAZONAS,RODRÍGUEZ DE MENDOZA,RONALD DARWIN ATENCIO SOTOMAYOR,ALIANZA ELECTORAL VENCEREMOS,214
